texts,labels
ኢህአዴግና ኤርትራ ወይስ ኢትዮጲያና ሻዕቢያ,neutral
ፈጣሪ ይባርካቹ,positive
ጎሽ ተባረኩ የምታቃትሉትን ሚያገለግል ነገር ሁሉ እንዲህ ላሉ ድርጅቶች ስጡ,positive
ጥሩ ነው ግን ሌሎቹንም ተመልከቱ,positive
ፈጣሪ ይባርካቹ,positive
መሬት ጠብ እሚል ነገር አላየነም ያው ሙሥናው ቀጥሉአል ሥራ አጡ ኑሮ ውድነቱ ተባብሶ ቀጥሉአል,negative
ይገርማል 150 የኣጸይ ቴድሮስ ልጆች (ቅማንቶች) በኣንድ ጉድጎድ ተቀብሮ ሴገኙ ያላወገዘ ኣንዳችም ነገር ያለለ ስለኬንያ ሽብር ልያወግዝ ሞራል የለውም,negative
የአሰፋ ዲቃላዎችና ቅምጦች ተንጫጩ ከከከከ ምርጥ መሪ ለሀገሩ ሲተጋ ሀገር ዘራፊዎች የዘረፋው በር ሲከረቸም እያበዱ ነው አብቹ በርታልን ከጎንህ ነን! !!!,negative
ከውጩ ጉዞ ትንሽ ቀነስ አድርጎ ምናለበት የህወሓትን አጥፊ ግለሰቦችና ሌሎች ድርቶች ውስጥ የተወሸቁ ግለሰቦችን አድኖ ቢይዝልን? መሮጥ ምን ያደርጋል?,negative
ውሸታም ንፁሃንን እያሳደደ እየገደለ ነው ድል ለኦሮሞ ህዝብ,strongNegative
አነሱ መግደል መሽነፍ ነው ማስር መሽነፍ ነው,strongNegative
የኛ ጀግና የኦሮሚያ ፖሊስ ኢትዮጵያዊነቱን ያስመሰከረ ጀግና,strongPositive
ዋው! በጣም ምርጥ ተግባር ነው። እንዲህ ነው ከህዝብ ወደ ህዝብ ማለት።,strongPositive
መሪይ ሁሉን አሳክተህ በሰላም እንድትመጣ ምኞቴ ነው እንወድሀለን,strongPositive
በርቱ ጀግኒት,strongPositive
ጀግኒት ,strongPositive
የገቢዎች ሚኒስቴር 3 ነጥብ 5 ሚሊየን ብር የሚያወጡ የምግብ ዘይትና ስኳር ድጋፍን ለመቄዶንያ የአረጋዉያንና የአዕምሮ ህሙማን መርጃ ማዕከል አደረገአዲስ አበባ፣ ጥር 10፣ 2011 (ኤፍ.ቢ.ሲ) የገቢዎች ሚኒስቴር ሚንስትር ወ/ሮ አዳነች አቤቤን ጨምሮ ከፍተኛ የመንግስት ሃላፊዎች፤ የመስሪያ ቤቱ ሰራተኞች እንዲሁም የታክስ አምባሳደሮች የጥምቀት በዓልን ምክንያት በማድረግ መቄዶንያ የአረጋዉያንና የአዕምሮ ህሙማን መርጃ ማዕከልን ጎበኙ።በጉብኝቱ ሚኒስቴር መስሪያ ቤቱ ግምታዊ ዋጋዉ 3 ነጥብ 5 ሚሊየን ብር የሚገመት የምግብ ዘይትና ስኳር በድጋፍ መልክ አበርክቷል።በጉብኘቱ ላይ የገቢዎች ሚንስትር ወ/ሮ አዳነች አቤቤ እንዳሉት፥ አረጋዉያንና የአዕምሮ ህሙማንን ለመርዳት ሁላችንም የአቅማችንን ብናደርግላቸዉ ዛሬ ህይወት ባልከበዳቸዉ ነበር።ግብር ከፋዩም ግዴታዉንና ሃላፊነቱን በአግባቡ በመወጣት ግብርን በወቅቱና በጊዜዉ በመክፈል ማህበራዊ ግዴታዉን ሊወጡ ይገባልም ነው ያሉት።በጉብኝቱ ላይ የተገኙት የግብር አምባሳደሮችም ሌላ አገር የለንምና የአዕምሮ ህሙማን ወገኖቻችንን ለመርዳት ምንም አይነት መመዘኛ ሳናስቀምጥ በመደገፍ የዜግነት ሀላፊትን መወጣት እንደሚገባ ተናግርዋል።የማዕከሉ መስራች አቶ ቢንያም በለጠ “ለማዕከሉ አስፈላጊ የሆነዉን ድጋፍ ሣንጠራችሁ መታችሁ ድጋፍ ማድረጋችሁ ብቻ ሳይሆን በጉብኝታችሁ ያሳያችሁት ፍቅር በስራችን እንድንበረታ የሚያደርግ ይሆናል” ብለዋል።,positive
አረ ሌሎችንም ምነው ጎብኛቸው ኢትዮጵያ ውስጥ ያለው መቄዶንያ ብቻ አይደለም አንድ ነገር ላይ መረባረብ ትወዳላችሁ,positive
አረ ሌሎችም እኮ አሉ የአረጋዉያን እና የአዕምሮ ህሙማን መርጃ ማህከል.. .እነሱም ጋር ጎራ እያላችሁ.. ...የቢኒን መልካም ስራ ከማንም በላይ እወድለታለዉ እሱ የኢትዮጵያ ትልቅ ሰዉ ነዉ ቢኒዬ እግዚአብሔር እረጅም እድሜ ከጤና ጋር እመኝላለዉ,positive
ዋው! በጣም ምርጥ ተግባር ነው። እንዲህ ነው ከህዝብ ወደ ህዝብ ማለት።,positive
መቸም የተወረሰ ነው የሚሆነው።,negative
እኔ እኮ እንደተለመደው 3.5ሚሊየን የሚያወጣ እቃ በኮንትሮባንድ ምናምን ሊል ነው ብየ ,negative
መልካም ነገር ነው ሁሉም በመስመሩ ከሆነ ግብር ከፋዪ ባገኘው መጠን የማያስመርር ግብር ከተጠየቀ ሁሉም ደስተኛ ሆኖ በሰዓቱ የሚከፍል ይመስለኛል ለማንኛውም ያደረጋችሁት መልካም ነገር እግዚአብሔር ይስጣችሁ,positive
ዋው ጥሩ ጅማሮ ነው ገቢዎች,positive
አላህ ይጨምርልሽ አዴ,positive
የኢትዮጵያ አማራሮች እባካችሁ ከዝች የሴት ጀግና አመራር ተማሩ ከሌብነት ለህዝብ መኖርን የመሠለ ክብር የለም እባክሽ አንቺ መልካም ሰው በሞኖፖል የተያዘውን የውጪ ንግድ አስመጪና ላኪ በመርካቶ የተያዘውንም ጭምር ለየክልሉ ሼር ይደረግና አከፋፋዮች ይጨመሩ ሲበዘብዙ የከረሙስግብግብ አስመጪ ነጋዴዎችም በቃቸው ንግድ ፈቃዳቸው በህግ አግባብ ይሰረዝ ቀጥይ አንቺ ታማኝ አመራር በአዳማ መልካም ዘር ዘርተሻል አሁንም አደገኛውን ጉሙሩክ ደፍረሻል ጥሩ አሻራ ጥለሻል በርቺ የኢትዮጵያና የደሃ ህዝብ አምላክ ካንቺ ጋር ይሁን,positive
እግዚአብሔር ይባርክሽ,positive
መልካም ነው ይቀጥል,positive
በኦሮሚያ በጥፋት ድርጊቶች ውስጥ በማሳተፍ የተጠረጠሩ 140 ግለሰቦች በቁጥጥር ስር ዋሉበምዕራብ ኦሮሚያና በጉጂ ዞኖች ተከስቶ ከነበረው የጸጥታ ችግሮች ጋር ተያይዞ እጃቸው አለበት ተብለው የተጠረጠሩ 140 ግለሰቦች በቁጥጥር ስር መዋላቸውን የኦሮሚያ ፖሊስ ኮሚሽን ዛሬ በሰጠው መግለጫ አስታውቋል፡፡ለጋዜጠኞች መግለጫ የሰጡት የኦሮሚያ ፖሊስ ኮሚሽን ምክትል ኮሚሽነርና የወንጀል ምርመራና ፍትሕ ዘርፍ ኃላፊ አበበ ለገሰ እንዳሉት በክልሉ የሕግ የበላይነት የማስከበር ስራዎች ተጠናክረው ቀጥለዋል፡፡በምዕራብ ኦሮሚያና በጉጂ ዞኖች የተከሰቱት የጸጥታ ችግሮች እየተሻሻሉ መሆናቸውን የገለጹት ምክትል ኮሚሽነሩ፣ በእነዚህ አከባቢዎች የሰው ሕይወትን በመጥፋት፣ ባንኮችንና ሌሎች የህዝብ ሀብትን በመዝረፍና በማውደም የተጠረጠሩ አካላት በቁጥጥር ስር እየዋሉ ነው ብለዋል፡፡መንግስት ሕግን ለማስከር እርምጃዎቸን እየወሰደ ባለበት በአሁኑ ወቅት ማህበረሰቡም የበኩሉን ትብብር እንዲያደርግ ምክትል ኮሚሽነሩ ጠይቀዋል፡፡,negative
ነፃ አውጪ ነኝ ስል ከሊቢያ ወይስ ከሶርያ ነው ወይንም ግልብጦሽ አረ የኢትዮጵያ አምላክ ማስተዋልን ይስጣችሁ,negative
ዳዉድ እብሳና ጌታቸው አሰፋ በቅርብ እንደምያዙ ተስፋ ኣለን,negative
የእገሌ ብሔር ነፃ አውጪ ነኝ ብሎ የሚመሰረት የብሔር ፓርቲ ያንን ማህበረሰብ ከቱርክ ወይም ከጣልያን ወይም ከእንግሊዝ አይደለም ነፃ የሚያወጣው፣ ከጎረቤቱና ከገዛ ወንድሙ እንጂ ለዚህ ነው የብሔር ድርጅት ስሜታዊ ደጋፊ የማያጣው እገሌ ጨቁኖሃል እገሌ ገድሎሃል እገሌ ዘርፎሃል እያለ ቁስሉን እየነገረ ሆ በል ከማስባል በዘለለ በዚህ በዚህ ፖሊሲ ከርሃብ አላቅቅሃለሁ፣በዚህ ፖሊሲ ጤናህን እጠብቅልሃለሁ በዚህ ፖሊሲ ኑሮህን አሻሽላለሁ ብሎ የራሱን ፕሮግራሞች ወደ ሕዝቡ አውርዶ ተፎካካሪ የሚሆን ሃሳብ አቅርቦ ሲንቀሳቀስ የማይታየው,negative
በርቱ ተጠናክሮ ይቀጥል,positive
በርቱልን በጋራ እናፀዳዋለን።ፍፁም ንፁህ ሰላም አየር እንተነፍሳለን,positive
እየተወሰደ ያለው እርምጃ ተጠናክሮ መቀጠል ያለበት ነው አንዳንዶቻችሁ የምትሰጡት አስተያየተት አይደለም ከአዋቂ ከጨቅላ ህፃን የሚጠበቅ የምንስመው አይደለም ልቦና ይስጣችሁ,positive
ይድረሥ ለዶ/ር ደብረ ጵዮን ገ/ ሚካኤል ሥለ አል ነጃሽ _መሥጅድ ታሪክ አለም እንድያውቅ እንደሚፈልጉ ሠማን ነገር ግን የአክሡም ሙሥሊሞች መስገጃና መቀበሪያ ቦታ የሌላቸው መሆኑን አለም ቀድሞ ቢያውቅ አይሻልም ወይ,negative
ምን ምን ላለው ምን ያቋልጣል ነው ሚባለው? ሌባና አሸባሪን በርቱና ያዙ እኛ እደግፍለን፡፡,negative
የምአኔሱ ለምን ዝምታ አበዛ? የትግራይ ህዝብም ሆኔ አማራሮች ከማን ባላይ ናቸው? ለምንስ ተፋሩ? ለእኔሱ ህግ የለምዋይ ? እኔሱ የተማሩ ሌሎች ትህምርት ስያጡ እንዴት ነው ነገሩ?,negative
